Type, Quantum, Average Response Time, Context Switch Time
fcfs, 0, 1.42337479, 0.00000615
sjf, 0, 0.51676777, 0.00000810
mlfq, 0, 1.41832478, 0.00001753
rr, 0, 0.79794660, 0.05146694
mlfq, 5000, 1.42638335, 0.00001662
rr, 5000, 0.67581849, 0.00115337
mlfq, 10000, 1.43427925, 0.00003227
rr, 10000, 0.67206485, 0.00055307
mlfq, 15000, 1.44072363, 0.00001913
rr, 15000, 0.66835235, 0.00039635
mlfq, 20000, 1.08410388, 0.00004295
rr, 20000, 0.69356259, 0.00035256
mlfq, 25000, 1.09609172, 0.00002934
rr, 25000, 0.70327250, 0.00029885
mlfq, 30000, 1.11036434, 0.00004030
rr, 30000, 0.70810817, 0.00028076
mlfq, 35000, 1.12575427, 0.00004882
rr, 35000, 0.72157851, 0.00019618
mlfq, 40000, 1.13591076, 0.00002675
rr, 40000, 0.75157405, 0.00017335
mlfq, 45000, 1.14755872, 0.00002570
rr, 45000, 0.72194825, 0.00020603
mlfq, 50000, 1.16171381, 0.00002884
rr, 50000, 0.77689451, 0.00017320
mlfq, 55000, 1.17723496, 0.00003059
rr, 55000, 0.78536445, 0.00018194
mlfq, 60000, 1.19077769, 0.00002668
rr, 60000, 0.82633142, 0.00014694
mlfq, 65000, 1.20153808, 0.00003101
rr, 65000, 0.81423184, 0.00017174
mlfq, 70000, 1.21205911, 0.00005580
rr, 70000, 0.85962626, 0.00020701
mlfq, 75000, 1.22748689, 0.00005343
rr, 75000, 0.90183663, 0.00023216
mlfq, 80000, 1.24228586, 0.00004616
rr, 80000, 0.88130695, 0.00016909
mlfq, 85000, 0.92941861, 0.00003702
rr, 85000, 0.80828861, 0.00009394
mlfq, 90000, 0.94623601, 0.00005950
rr, 90000, 0.83336335, 0.00012571
mlfq, 95000, 0.96176097, 0.00003310
rr, 95000, 0.87970575, 0.00012411
mlfq, 100000, 0.97927429, 0.00011133
rr, 100000, 0.90188212, 0.00026987
mlfq, 105000, 0.99554818, 0.00005888
rr, 105000, 0.84125837, 0.00017342
mlfq, 110000, 1.00932028, 0.00010378
rr, 110000, 0.88171251, 0.00016392
mlfq, 115000, 1.02826971, 0.00006293
rr, 115000, 0.92165548, 0.00015693
mlfq, 120000, 1.04444121, 0.00005790
rr, 120000, 0.93145337, 0.00015121
mlfq, 125000, 1.06040398, 0.00006132
rr, 125000, 0.97018993, 0.00014583
mlfq, 130000, 1.07776772, 0.00005476
rr, 130000, 0.97631543, 0.00011503
mlfq, 135000, 1.09312687, 0.00016273
rr, 135000, 1.01400700, 0.00012711
mlfq, 140000, 1.11075744, 0.00006118
rr, 140000, 1.05068858, 0.00009149
mlfq, 145000, 1.12510240, 0.00003723
rr, 145000, 1.05282480, 0.00013947
mlfq, 150000, 1.13973824, 0.00005901
rr, 150000, 1.08927558, 0.00014932
mlfq, 155000, 1.15827733, 0.00006013
rr, 155000, 1.00822114, 0.00009736
mlfq, 160000, 1.17322683, 0.00005909
rr, 160000, 1.04067114, 0.00010267
mlfq, 165000, 1.19056378, 0.00006293
rr, 165000, 1.03265668, 0.00012942
mlfq, 170000, 1.20430119, 0.00005902
rr, 170000, 1.06407501, 0.00017202
mlfq, 175000, 1.22155861, 0.00003401
rr, 175000, 1.09439889, 0.00009100
mlfq, 180000, 1.24013127, 0.00004708
rr, 180000, 1.12587887, 0.00009973
mlfq, 185000, 1.25414241, 0.00004763
rr, 185000, 1.15691025, 0.00009492
mlfq, 190000, 1.27090367, 0.00003751
rr, 190000, 1.18877530, 0.00014059
mlfq, 195000, 1.28815832, 0.00005476
rr, 195000, 1.17071969, 0.00010204
mlfq, 200000, 1.30351389, 0.00005608
rr, 200000, 1.20060318, 0.00009519
mlfq, 205000, 1.31919961, 0.00003925
rr, 205000, 1.23073193, 0.00008583
mlfq, 210000, 1.33680644, 0.00005594
rr, 210000, 1.26151024, 0.00024403
mlfq, 215000, 1.35361893, 0.00006649
rr, 215000, 1.29139692, 0.00013402
mlfq, 220000, 1.36986466, 0.00010776
rr, 220000, 1.32158001, 0.00015414
mlfq, 225000, 1.38562832, 0.00005930
rr, 225000, 1.35162233, 0.00025785
mlfq, 230000, 1.40181217, 0.00006153
rr, 230000, 1.38162029, 0.00016043
mlfq, 235000, 1.41838409, 0.00006460
rr, 235000, 1.35284947, 0.00015079
mlfq, 240000, 1.43420274, 0.00005916
rr, 240000, 1.38139502, 0.00014017
mlfq, 245000, 1.45059098, 0.00005699
rr, 245000, 1.41025343, 0.00015162
mlfq, 250000, 1.46707623, 0.00006272
rr, 250000, 1.43881904, 0.00019528
fcfs, 0, 1.42300016, 0.00000803
sjf, 0, 0.51670006, 0.00000768
mlfq, 0, 1.41784102, 0.00001914
rr, 0, 0.82757201, 0.05334299
mlfq, 5000, 1.42610433, 0.00001774
rr, 5000, 0.66987683, 0.00131880
mlfq, 10000, 1.43393672, 0.00001711
rr, 10000, 0.67188469, 0.00058827
mlfq, 15000, 1.44105820, 0.00001837
rr, 15000, 0.69454089, 0.00041143
mlfq, 20000, 1.08404759, 0.00002836
rr, 20000, 0.69390668, 0.00034285
mlfq, 25000, 1.09639376, 0.00002961
rr, 25000, 0.70949738, 0.00029563
mlfq, 30000, 1.11325186, 0.00003653
rr, 30000, 0.70767362, 0.00027315
mlfq, 35000, 1.12691377, 0.00004512
rr, 35000, 0.72000874, 0.00026596
mlfq, 40000, 1.13583308, 0.00005175
rr, 40000, 0.75278705, 0.00023327
mlfq, 45000, 1.14857131, 0.00007389
rr, 45000, 0.72230318, 0.00023334
mlfq, 50000, 1.16456372, 0.00004484
rr, 50000, 0.77746232, 0.00024647
mlfq, 55000, 1.17771801, 0.00004519
rr, 55000, 0.78619079, 0.00022894
mlfq, 60000, 1.18932670, 0.00004952
rr, 60000, 0.82732917, 0.00022091
mlfq, 65000, 1.20141354, 0.00003464
rr, 65000, 0.81449741, 0.00019953
mlfq, 70000, 1.21342206, 0.00004470
rr, 70000, 0.85945965, 0.00029641
mlfq, 75000, 1.22804119, 0.00004595
rr, 75000, 0.90193565, 0.00020359
mlfq, 80000, 1.23998546, 0.00004819
rr, 80000, 0.88173754, 0.00019018
mlfq, 85000, 0.93034841, 0.00005636
rr, 85000, 0.80899660, 0.00017544
mlfq, 90000, 0.94661394, 0.00010288
rr, 90000, 0.83404122, 0.00015735
mlfq, 95000, 0.96260848, 0.00006272
rr, 95000, 0.88003458, 0.00017439
mlfq, 100000, 0.97943698, 0.00005923
rr, 100000, 0.90147472, 0.00015980
mlfq, 105000, 0.99568465, 0.00006195
rr, 105000, 0.84151434, 0.00015365
mlfq, 110000, 1.00970785, 0.00017132
rr, 110000, 0.88152672, 0.00016322
mlfq, 115000, 1.02808580, 0.00006013
rr, 115000, 0.92168746, 0.00016322
mlfq, 120000, 1.04452408, 0.00005734
rr, 120000, 0.93210937, 0.00015498
mlfq, 125000, 1.06020547, 0.00006272
rr, 125000, 0.97044710, 0.00019807
mlfq, 130000, 1.07694518, 0.00005832
rr, 130000, 0.97661073, 0.00014262
mlfq, 135000, 1.09310908, 0.00006593
rr, 135000, 1.01436371, 0.00032644
mlfq, 140000, 1.10882586, 0.00006181
rr, 140000, 1.05175300, 0.00015386
mlfq, 145000, 1.12583609, 0.00006265
rr, 145000, 1.05277141, 0.00018780
mlfq, 150000, 1.13952365, 0.00006013
rr, 150000, 1.08900482, 0.00024500
mlfq, 155000, 1.15846462, 0.00007550
rr, 155000, 1.00896573, 0.00015484
mlfq, 160000, 1.17465729, 0.00005930
rr, 160000, 1.04162411, 0.00015030
mlfq, 165000, 1.18925309, 0.00004498
rr, 165000, 1.03287890, 0.00012942
mlfq, 170000, 1.20494754, 0.00005769
rr, 170000, 1.06410925, 0.00015267
mlfq, 175000, 1.22262913, 0.00006383
rr, 175000, 1.09528479, 0.00015170
