Type, Quantum, Average Response Time, Context Switch Time, Second Queue Usage
rr, 0, 0.80645141, 0.05363440, 0
rr, 500, 0.66859133, 0.00647503, 0
rr, 1000, 0.68309212, 0.00344362, 0
rr, 1500, 0.68133492, 0.00310471, 0
rr, 2000, 0.69571690, 0.00222772, 0
rr, 2500, 0.66787512, 0.00202059, 0
rr, 3000, 0.67590535, 0.00138997, 0
rr, 3500, 0.66504641, 0.00147349, 0
rr, 4000, 0.66116025, 0.00128808, 0
rr, 4500, 0.66358903, 0.00124694, 0
rr, 5000, 0.65541165, 0.00105475, 0
rr, 5500, 0.66462536, 0.00078119, 0
rr, 6000, 0.67946734, 0.00096262, 0
rr, 6500, 0.68345497, 0.00085793, 0
rr, 7000, 0.66537392, 0.00079075, 0
rr, 7500, 0.67719043, 0.00073438, 0
rr, 8000, 0.66390311, 0.00068214, 0
rr, 8500, 0.66679971, 0.00062416, 0
rr, 9000, 0.67405510, 0.00066769, 0
rr, 9500, 0.66728666, 0.00060272, 0
rr, 10000, 0.68181302, 0.00059686, 0
rr, 10500, 0.68452169, 0.00061096, 0
rr, 11000, 0.67163026, 0.00051989, 0
rr, 11500, 0.67862653, 0.00049713, 0
rr, 12000, 0.67452805, 0.00047492, 0
rr, 12500, 0.68048254, 0.00048707, 0
rr, 13000, 0.68502423, 0.00070925, 0
rr, 13500, 0.69103800, 0.00049154, 0
rr, 14000, 0.67704511, 0.00040096, 0
rr, 14500, 0.69375058, 0.00045962, 0
rr, 15000, 0.69532383, 0.00041626, 0
rr, 15500, 0.67906485, 0.00046179, 0
rr, 16000, 0.68081465, 0.00042644, 0
rr, 16500, 0.68108511, 0.00040493, 0
rr, 17000, 0.67130449, 0.00038930, 0
rr, 17500, 0.66877264, 0.00040550, 0
rr, 18000, 0.67897324, 0.00033230, 0
rr, 18500, 0.67444556, 0.00034557, 0
rr, 19000, 0.68772302, 0.00034697, 0
rr, 19500, 0.68117992, 0.00034005, 0
rr, 20000, 0.69366485, 0.00038231, 0
mlfq, 15000, 1.44249866, 0.00001795, 1.000
mlfq, 16000, 1.07157615, 0.00002095, 0.750
mlfq, 17000, 1.07450072, 0.00002821, 0.750
mlfq, 18000, 1.07795196, 0.00007131, 0.750
mlfq, 19000, 1.07912280, 0.00002689, 0.750
mlfq, 20000, 1.08194535, 0.00003262, 0.750
mlfq, 21000, 1.08459102, 0.00003590, 0.750
mlfq, 22000, 1.08689902, 0.00003611, 0.750
mlfq, 23000, 1.08904079, 0.00003066, 0.750
mlfq, 24000, 1.09219073, 0.00002961, 0.750
mlfq, 25000, 1.09490855, 0.00002801, 0.750
mlfq, 26000, 1.09764963, 0.00003974, 0.750
mlfq, 27000, 1.09993721, 0.00003736, 0.750
mlfq, 28000, 1.10363148, 0.00003164, 0.750
